title,authors,year,venue,doi,discovery_source,metadata_sources,open_access_status,fulltext_status,zotero_item_key,relevance_topic,screening_status,verified_at,notes
Transfer learning for acoustic cement bond evaluation: An image classification approach using acoustic variable Density log,Amirhossein Abdollahian; Hua Wang; Heng Liu; Xiaomin Zheng,2024,Geoenergy Science and Engineering,10.1016/j.geoen.2024.212960,paperSearch,Crossref; OpenAlex; Zotero,not_verified,fulltext_verified,8V9EMQKN,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,admitted,2026-07-14,Zotero attachment identity checked; relevant full text read from the local attachment text cache.
A Cement Bond Quality Prediction Method Based on a Wide and Deep Neural Network Incorporating Embedded Domain Knowledge,Rengguang Liu; Jiawei Yu; Luo Liu; Zheng Wang; Shiming Zhou; Zhaopeng Zhu,2025,Applied Sciences,10.3390/app15105493,paperSearch,Crossref; OpenAlex; Zotero,open_fulltext_url_reported,fulltext_verified,XAPWIE3B,T7 deep learning in logging and cement evaluation,admitted,2026-07-14,Zotero attachment identity checked; relevant full text read from the local attachment text cache.
Uncertainty and explainable analysis of machine learning model for reconstruction of sonic slowness logs,Hua Wang; Yuqiong Wu; Yushun Zhang; Fuqiang Lai; Zhou Feng; Bing Xie; Ailin Zhao,2023,Artificial Intelligence in Geosciences,10.1016/j.aiig.2023.11.002,paperSearch,Crossref; OpenAlex; Zotero,open_fulltext_url_reported,fulltext_verified,3976QB8E,T7 deep learning in logging and cement evaluation,admitted,2026-07-14,Zotero attachment identity checked; relevant full text read from the local attachment text cache.
Automatic facies classification from acoustic image logs using deep neural networks,Nan You; Elita (Yunyue) Li; Arthur Cheng,2023,Interpretation,10.1190/int-2022-0069.1,paperSearch,Crossref; OpenAlex,not_verified,abstract_only,,T7 deep learning in logging and cement evaluation,admitted,2026-07-14,No claim beyond the recorded verification level.
Deep Recurrent Neural Networks Approach to Sedimentary Facies Classification Using Well Logs,Daniel Theisges dos Santos; Mauro Roisenberg; Marivaldo dos Santos Nascimento,2022,IEEE Geoscience and Remote Sensing Letters,10.1109/lgrs.2021.3053383,paperSearch,Crossref; OpenAlex,not_verified,abstract_only,,T7 deep learning in logging and cement evaluation,admitted,2026-07-14,No claim beyond the recorded verification level.
Automatic Interpretation of Oil and Gas Well Cement Evaluation Logs Using Fuzzy Convolutional Neural Networks,Mojtaba Saleh Nezhad; Gholamreza Akbarizadeh; Yousef Seifi Kavian; Reza Salehi-Moorkani,2023,SPE Drilling & Completion,10.2118/214655-pa,paperSearch,Crossref; OpenAlex,not_verified,abstract_only,,T7 deep learning in logging and cement evaluation,admitted,2026-07-14,No claim beyond the recorded verification level.
Better Automatic Interpretation of Cement Evaluation Logs through Feature Engineering,Erlend Magnus Viggen; Lasse Løvstakken; Svein-Erik Måsøy; Ioan Alexandru Merciu,2021,SPE Journal,10.2118/204057-pa,paperSearch,Crossref; OpenAlex,not_verified,abstract_only,,T7 deep learning in logging and cement evaluation,admitted,2026-07-14,No claim beyond the recorded verification level.
Imaging and characterization of cement annulus and bonding interfaces in cased wells with fully connected neural network,Siqi Zhang; Zhoumo Zeng; Xiaocen Wang; Shili Chen; Yang Liu,2023,Geophysics,10.1190/geo2022-0436.1,paperSearch,Crossref; OpenAlex,not_verified,abstract_only,,T7 deep learning in logging and cement evaluation,admitted,2026-07-14,No claim beyond the recorded verification level.
Extraction of geological information from acoustic well-logging waveforms using time-frequency wavelets,Naoki Saito; Ronald R. Coifman,1997,Geophysics,10.1190/1.1444292,paperSearch,Crossref; OpenAlex,not_verified,abstract_only,,T5 continuous wavelet transform,admitted,2026-07-14,No claim beyond the recorded verification level.
"The wavelet transform, time-frequency localization and signal analysis",I. Daubechies,1990,IEEE Transactions on Information Theory,10.1109/18.57199,paperSearch,Crossref; OpenAlex,not_verified,abstract_only,,T5 continuous wavelet transform,admitted,2026-07-14,No claim beyond the recorded verification level.
A theory for multiresolution signal decomposition: the wavelet representation,S.G. Mallat,1989,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/34.192463,paperSearch,Crossref; OpenAlex,not_verified,abstract_only,,T5 continuous wavelet transform,admitted,2026-07-14,No claim beyond the recorded verification level.
Analysis of time-varying signals using continuous wavelet and synchrosqueezed transforms,Jean Baptiste Tary; Roberto Henry Herrera; Mirko van der Baan,2018,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",10.1098/rsta.2017.0254,paperSearch,Crossref; OpenAlex,open_fulltext_url_reported,abstract_only,,T5 continuous wavelet transform,admitted,2026-07-14,No claim beyond the recorded verification level.
Grad-CAM: Visual Explanations from Deep Networks via Gradient-Based Localization,Ramprasaath R. Selvaraju; Michael Cogswell; Abhishek Das; Ramakrishna Vedantam; Devi Parikh; Dhruv Batra,2017,2017 IEEE International Conference on Computer Vision (ICCV),10.1109/iccv.2017.74,paperSearch,Crossref; OpenAlex; Zotero,not_verified,fulltext_verified,C9BQ5ZQ5,T9 Grad-CAM,admitted,2026-07-14,Zotero attachment identity checked; relevant full text read from the local attachment text cache.
"Cross‐validation strategies for data with temporal, spatial, hierarchical, or phylogenetic structure",David R. Roberts; Volker Bahn; Simone Ciuti; Mark S. Boyce; Jane Elith; Gurutzeta Guillera‐Arroita; Severin Hauenstein; José J. Lahoz‐Monfort; Boris Schröder; Wilfried Thuiller; David I. Warton; Brendan A. Wintle; Florian Hartig; Carsten F. Dormann,2017,Ecography,10.1111/ecog.02881,paperSearch,Crossref; OpenAlex,not_verified,abstract_only,,T10 grouped and blocked validation,admitted,2026-07-14,No claim beyond the recorded verification level.
block CV : An r package for generating spatially or environmentally separated folds for k ‐fold cross‐validation of species distribution models,Roozbeh Valavi; Jane Elith; José J. Lahoz‐Monfort; Gurutzeta Guillera‐Arroita,2018,Methods in Ecology and Evolution,10.1111/2041-210x.13107,paperSearch,Crossref; OpenAlex,open_fulltext_url_reported,abstract_only,,T10 grouped and blocked validation,admitted,2026-07-14,No claim beyond the recorded verification level.
Improving performance of spatio-temporal machine learning models using forward feature selection and target-oriented validation,Hanna Meyer; Christoph Reudenbach; Tomislav Hengl; Marwan Katurji; Thomas Nauss,2018,Environmental Modelling & Software,10.1016/j.envsoft.2017.12.001,paperSearch,Crossref; OpenAlex,not_verified,metadata_only,,T10 grouped and blocked validation,admitted,2026-07-14,No claim beyond the recorded verification level.
Spatial validation reveals poor predictive performance of large-scale ecological mapping models,Pierre Ploton; Frédéric Mortier; Maxime Réjou-Méchain; Nicolas Barbier; Nicolas Picard; Vivien Rossi; Carsten Dormann; Guillaume Cornu; Gaëlle Viennois; Nicolas Bayol; Alexei Lyapustin; Sylvie Gourlet-Fleury; Raphaël Pélissier,2020,Nature Communications,10.1038/s41467-020-18321-y,paperSearch,Crossref; OpenAlex,open_fulltext_url_reported,abstract_only,,T10 grouped and blocked validation,admitted,2026-07-14,No claim beyond the recorded verification level.
Gradient-based learning applied to document recognition,Y. Lecun; L. Bottou; Y. Bengio; P. Haffner,1998,Proceedings of the IEEE,10.1109/5.726791,paperSearch,Crossref; OpenAlex,open_fulltext_url_reported,abstract_only,,T7 convolutional networks,admitted,2026-07-14,No claim beyond the recorded verification level.
Deep Residual Learning for Image Recognition,Kaiming He; Xiangyu Zhang; Shaoqing Ren; Jian Sun,2016,2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr.2016.90,paperSearch,Crossref; OpenAlex,open_fulltext_url_reported,abstract_only,,T7 convolutional networks,admitted,2026-07-14,No claim beyond the recorded verification level.
Identification and evaluation of well integrity and causes of failure of well integrity barriers (A review),Raj Kiran; Catalin Teodoriu; Younas Dadmohammadi; Runar Nygaard; David Wood; Mehdi Mokhtari; Saeed Salehi,2017,Journal of Natural Gas Science and Engineering,10.1016/j.jngse.2017.05.009,paperSearch,Crossref; OpenAlex,not_verified,metadata_only,,T1 well integrity,admitted,2026-07-14,No claim beyond the recorded verification level.
A review on well integrity issues for CO 2 geological storage and enhanced gas recovery,Mingxing Bai; Zhichao Zhang; Xiaofei Fu,2016,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2016.01.043,paperSearch,Crossref; OpenAlex,not_verified,metadata_only,,T1 well integrity,admitted,2026-07-14,No claim beyond the recorded verification level.
Shape Discrimination Using Fourier Descriptors,Eric Persoon; King-Sun Fu,1977,"IEEE Transactions on Systems, Man, and Cybernetics",10.1109/tsmc.1977.4309681,paperSearch,Crossref; OpenAlex,not_verified,abstract_only,,T6 Fourier descriptors and shift-invariant magnitude,admitted,2026-07-14,No claim beyond the recorded verification level.
Fourier Descriptors for Plane Closed Curves,Charles T. Zahn; Ralph Z. Roskies,1972,IEEE Transactions on Computers,10.1109/tc.1972.5008949,paperSearch,Crossref; OpenAlex,not_verified,abstract_only,,T6 Fourier descriptors and shift-invariant magnitude,admitted,2026-07-14,No claim beyond the recorded verification level.
Elliptic Fourier features of a closed contour,Frank P Kuhl; Charles R Giardina,1982,Computer Graphics and Image Processing,10.1016/0146-664x(82)90034-x,paperSearch,Crossref; OpenAlex,not_verified,metadata_only,,T6 Fourier descriptors and shift-invariant magnitude,admitted,2026-07-14,No claim beyond the recorded verification level.
A Practical Guide to Wavelet Analysis,Christopher Torrence; Gilbert P. Compo,1998,Bulletin of the American Meteorological Society,10.1175/1520-0477(1998)079<0061:apgtwa>2.0.co;2,paperSearch,Crossref; OpenAlex,open_fulltext_url_reported,abstract_only,,T5 continuous wavelet transform,admitted,2026-07-14,No claim beyond the recorded verification level.
Robust Estimation of a Location Parameter,Peter J. Huber,1964,The Annals of Mathematical Statistics,10.1214/aoms/1177703732,paperSearch,Crossref; OpenAlex,open_fulltext_url_reported,abstract_only,,method robust loss,admitted,2026-07-14,No claim beyond the recorded verification level.
EfficientNetV2: Smaller Models and Faster Training,Mingxing Tan; Quoc V. Le,2021,arXiv,10.48550/arXiv.2104.00298,paperSearch,arXiv; OpenAlex,open_fulltext_url_reported,abstract_only,,T8 EfficientNetV2,admitted,2026-07-14,No claim beyond the recorded verification level.
Adam: A Method for Stochastic Optimization,Diederik P. Kingma; Jimmy Ba,2014,arXiv,10.48550/arXiv.1412.6980,paperSearch,arXiv; OpenAlex,open_fulltext_url_reported,abstract_only,,method optimization,admitted,2026-07-14,No claim beyond the recorded verification level.
Oil and gas wells and their integrity: Implications for shale and unconventional resource exploitation,Richard Davies; Sam Almond; Robert S. Ward; Robert B. Jackson; Charlotte Adams; Fred Worrall; Liam Herringshaw; Jon Gluyas; Mark Whitehead,2014,Marine and Petroleum Geology,10.1016/j.marpetgeo.2014.03.001,paperSearch,Crossref; OpenAlex,open_fulltext_url_reported,abstract_only,,T1 well integrity,admitted,2026-07-14,No claim beyond the recorded verification level.
