citation_key,title,doi,bibtex_type,metadata_sources,fulltext_status,zotero_item_key,cited_in_text,key_unique,admission_status,notes
Viggen2020AutomaticCement,Automatic interpretation of cement evaluation logs from cased boreholes using supervised deep neural networks,10.1016/j.petrol.2020.107539,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Wang2017CasedHoleWavefield,The wavefield of acoustic logging in a cased-hole with a single casing – Part I: a monopole tool,10.1093/gji/ggx437,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Froelich2008MultimodeCement,Multimode evaluation of cement behind steel pipe,10.1121/1.2934929,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Viggen2016PulseEcho,Analysis of outer-casing echoes in simulations of ultrasonic pulse-echo through-tubing logging,10.1190/geo2015-0376.1,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Acosta2017UltrasonicCement,"New-Generation, Circumferential Ultrasonic Cement-Evaluation Tool for Thick Casings: Case Study in Ultradeepwater Well",10.4043/28062-ms,inproceedings,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Udebhulu2023CementIntegrityReview,A review of cement sheath integrity evaluation techniques for carbon dioxide storage,10.1007/s13202-023-01697-0,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Abdollahian2024TransferCement,Transfer learning for acoustic cement bond evaluation: An image classification approach using acoustic variable Density log,10.1016/j.geoen.2024.212960,article,Crossref; OpenAlex; Zotero,fulltext_verified,8V9EMQKN,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Liu2025WideDeepCement,A Cement Bond Quality Prediction Method Based on a Wide and Deep Neural Network Incorporating Embedded Domain Knowledge,10.3390/app15105493,article,Crossref; OpenAlex; Zotero,fulltext_verified,XAPWIE3B,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Wang2023ExplainableSonic,Uncertainty and explainable analysis of machine learning model for reconstruction of sonic slowness logs,10.1016/j.aiig.2023.11.002,article,Crossref; OpenAlex; Zotero,fulltext_verified,3976QB8E,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
You2023AcousticImageFacies,Automatic facies classification from acoustic image logs using deep neural networks,10.1190/int-2022-0069.1,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Santos2022RecurrentFacies,Deep Recurrent Neural Networks Approach to Sedimentary Facies Classification Using Well Logs,10.1109/lgrs.2021.3053383,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Nezhad2023FuzzyCement,Automatic Interpretation of Oil and Gas Well Cement Evaluation Logs Using Fuzzy Convolutional Neural Networks,10.2118/214655-pa,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Viggen2021FeatureEngineering,Better Automatic Interpretation of Cement Evaluation Logs through Feature Engineering,10.2118/204057-pa,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Zhang2023CementFCNN,Imaging and characterization of cement annulus and bonding interfaces in cased wells with fully connected neural network,10.1190/geo2022-0436.1,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Saito1997WaveletAcoustic,Extraction of geological information from acoustic well-logging waveforms using time-frequency wavelets,10.1190/1.1444292,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Daubechies1990Wavelet,"The wavelet transform, time-frequency localization and signal analysis",10.1109/18.57199,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Mallat1989Multiresolution,A theory for multiresolution signal decomposition: the wavelet representation,10.1109/34.192463,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Tary2018TimeVaryingCWT,Analysis of time-varying signals using continuous wavelet and synchrosqueezed transforms,10.1098/rsta.2017.0254,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Selvaraju2017GradCAM,Grad-CAM: Visual Explanations from Deep Networks via Gradient-Based Localization,10.1109/iccv.2017.74,inproceedings,Crossref; OpenAlex; Zotero,fulltext_verified,C9BQ5ZQ5,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Roberts2017CrossValidation,"Cross‐validation strategies for data with temporal, spatial, hierarchical, or phylogenetic structure",10.1111/ecog.02881,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Valavi2019BlockCV,block CV : An r package for generating spatially or environmentally separated folds for k ‐fold cross‐validation of species distribution models,10.1111/2041-210x.13107,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Meyer2018TargetValidation,Improving performance of spatio-temporal machine learning models using forward feature selection and target-oriented validation,10.1016/j.envsoft.2017.12.001,article,Crossref; OpenAlex,metadata_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Ploton2020SpatialValidation,Spatial validation reveals poor predictive performance of large-scale ecological mapping models,10.1038/s41467-020-18321-y,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
LeCun1998GradientLearning,Gradient-based learning applied to document recognition,10.1109/5.726791,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
He2016ResNet,Deep Residual Learning for Image Recognition,10.1109/cvpr.2016.90,inproceedings,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Kiran2017WellIntegrityReview,Identification and evaluation of well integrity and causes of failure of well integrity barriers (A review),10.1016/j.jngse.2017.05.009,article,Crossref; OpenAlex,metadata_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Bai2016WellIntegrityReview,A review on well integrity issues for CO 2 geological storage and enhanced gas recovery,10.1016/j.rser.2016.01.043,article,Crossref; OpenAlex,metadata_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Persoon1977FourierDescriptors,Shape Discrimination Using Fourier Descriptors,10.1109/tsmc.1977.4309681,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Zahn1972FourierDescriptors,Fourier Descriptors for Plane Closed Curves,10.1109/tc.1972.5008949,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Kuhl1982EllipticFourier,Elliptic Fourier features of a closed contour,10.1016/0146-664x(82)90034-x,article,Crossref; OpenAlex,metadata_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Torrence1998WaveletGuide,A Practical Guide to Wavelet Analysis,10.1175/1520-0477(1998)079<0061:apgtwa>2.0.co;2,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Huber1964Robust,Robust Estimation of a Location Parameter,10.1214/aoms/1177703732,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Tan2021EfficientNetV2,EfficientNetV2: Smaller Models and Faster Training,10.48550/arXiv.2104.00298,misc,arXiv; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Kingma2014Adam,Adam: A Method for Stochastic Optimization,10.48550/arXiv.1412.6980,misc,arXiv; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Davies2014WellIntegrity,Oil and gas wells and their integrity: Implications for shale and unconventional resource exploitation,10.1016/j.marpetgeo.2014.03.001,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
